단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,,건축년도,도로명,매칭 구,건설수주_건축(단위 백만원),건설수주_주택(단위 백만원),매매가격지수(아파트),경상수지(백만불),무역수지(백만불),대출금액(아파트)(억원),대출잔액(아파트)(억원),서울_신규_분양세대(단위: 세대),아파트 동(호)수_(단위: 호),아파트 건물면적_(천),생산자물가지수 총지수 ,전규모(1인이상) 전체임금총액[원],소비자물가지수 총지수 ,"소비자물가지수 주택, 수도, 전기 및 연료",가계대출 (연리%),경기종합지수(2020=100),경제활동인구_ 실업률(단위: %),경제활동인구_고용률(단위: %),경제활동인구_취업자(단위: 천명),국제 주요국 주가지수(KOSPI),예금은행 대출금리(신규취급액 기준)_대출평균(연%),예금은행 대출금리(잔액 기준)_총대출(연리%),주택매매가격지수(KB)_서울,소비자물가지수_총지수(가중치:1000?),"원화의 대미달러, 원화의 대위안/대엔 환율(원/달러(종가)_원",경기종합지수,S&P 500_close,S&P 500_change_rate,NASDAQ_close,NASDAQ_change_rate,DOW Jones_close,DOW Jones_change_rate,KRX300_close,KRX300_change_rate,KOSPI_close,KOSPI_change_rate,KOSDAQ_close,KOSDAQ_change_rate,평당가
석관래미안,59.9,202003,7,"69,000",5,,2009,화랑로,노원구,"9,765,035","5,656,161",94.4,"5,826","4,363","42,474.39","32,233.28",242,9152,661141,102.82,3473131,99.94,100.68,2.88,98.5,4.2,59.5,"26,609","1,754.64",2.91,3.28,81.18,99.94,"1,220.23",98.5,2652.393632,-0.190680696,7772.205833,-0.174824335,22637.42081,-0.206254073,1089.34,-10.76,1754.64,-11.69,569.07,-6.82,3801.335559
석관래미안,59.9,202003,14,"69,000",8,,2009,화랑로,노원구,"9,765,035","5,656,161",94.4,"5,826","4,363","42,474.39","32,233.28",242,9152,661141,102.82,3473131,99.94,100.68,2.88,98.5,4.2,59.5,"26,609","1,754.64",2.91,3.28,81.18,99.94,"1,220.23",98.5,2652.393632,-0.190680696,7772.205833,-0.174824335,22637.42081,-0.206254073,1089.34,-10.76,1754.64,-11.69,569.07,-6.82,3801.335559
석관래미안,59.9,202004,2,"67,000",5,,2009,화랑로,노원구,"7,187,557","5,327,314",94.3,"-4,024","-1,663","20,871.76","16,239.20","1,100",3699,262791.3,101.93,3358565,99.5,100.56,2.89,98.5,4.2,59.4,"26,562","1,947.56",2.8,3.21,81.31,99.5,"1,224.42",98.5,2761.975226,0.041314227,8292.40718,0.066930979,23293.89983,0.028999727,1187.44,9.01,1947.56,10.99,645.18,13.37,3691.15192
석관래미안,114.97,202004,3,"89,990",7,,2009,화랑로,노원구,"7,187,557","5,327,314",94.3,"-4,024","-1,663","20,871.76","16,239.20","1,100",3699,262791.3,101.93,3358565,99.5,100.56,2.89,98.5,4.2,59.4,"26,562","1,947.56",2.8,3.21,81.31,99.5,"1,224.42",98.5,2761.975226,0.041314227,8292.40718,0.066930979,23293.89983,0.028999727,1187.44,9.01,1947.56,10.99,645.18,13.37,2582.995564
석관래미안,114.97,202004,3,"72,000",1,,2009,화랑로,노원구,"7,187,557","5,327,314",94.3,"-4,024","-1,663","20,871.76","16,239.20","1,100",3699,262791.3,101.93,3358565,99.5,100.56,2.89,98.5,4.2,59.4,"26,562","1,947.56",2.8,3.21,81.31,99.5,"1,224.42",98.5,2761.975226,0.041314227,8292.40718,0.066930979,23293.89983,0.028999727,1187.44,9.01,1947.56,10.99,645.18,13.37,2066.626076
석관래미안,114.97,202004,3,"72,000",1,,2009,화랑로,노원구,"7,187,557","5,327,314",94.3,"-4,024","-1,663","20,871.76","16,239.20","1,100",3699,262791.3,101.93,3358565,99.5,100.56,2.89,98.5,4.2,59.4,"26,562","1,947.56",2.8,3.21,81.31,99.5,"1,224.42",98.5,2761.975226,0.041314227,8292.40718,0.066930979,23293.89983,0.028999727,1187.44,9.01,1947.56,10.99,645.18,13.37,2066.626076
석관래미안,114.97,202004,17,"70,000",3,,2009,화랑로,노원구,"7,187,557","5,327,314",94.3,"-4,024","-1,663","20,871.76","16,239.20","1,100",3699,262791.3,101.93,3358565,99.5,100.56,2.89,98.5,4.2,59.4,"26,562","1,947.56",2.8,3.21,81.31,99.5,"1,224.42",98.5,2761.975226,0.041314227,8292.40718,0.066930979,23293.89983,0.028999727,1187.44,9.01,1947.56,10.99,645.18,13.37,2009.219796
석관래미안,84.84,202006,4,"81,500",7,,2009,화랑로,노원구,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3104.660933,0.063382625,9839.971325,0.080643931,26062.27015,0.073801952,1294.84,4.59,2108.33,3.88,737.97,3.4,3170.084866
석관래미안,84.84,202006,12,"82,600",8,,2009,화랑로,노원구,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3104.660933,0.063382625,9839.971325,0.080643931,26062.27015,0.073801952,1294.84,4.59,2108.33,3.88,737.97,3.4,3212.871287
석관래미안,59.9,202006,13,"68,700",11,,2009,화랑로,노원구,"16,637,293","10,008,122",94.3,"7,039","3,419","18,057.24","14,481.64",993,11106,852532.6,102.48,3351376,99.71,100.29,2.67,99,4.3,60.4,"27,055","2,108.33",2.72,3.05,81.755,99.71,"1,207.83",99,3104.660933,0.063382625,9839.971325,0.080643931,26062.27015,0.073801952,1294.84,4.59,2108.33,3.88,737.97,3.4,3784.808013
