mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_l1_reg,param_l2_reg,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
18.160800377527874,0.41635986319831103,0.21148220698038736,0.03655947610583523,32,0.01,0.01,0.1,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.01, 'learning_rate': 0.1}",-0.2104090436199264,-0.20822117138057658,-0.19979996159880284,-0.20614339219976863,0.004573549320158332,71
18.158070882161457,0.4538352356361465,0.1898205280303955,0.01588241825676047,32,0.01,0.01,0.01,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.01, 'learning_rate': 0.01}",-0.19836942002664568,-0.1992849423131857,-0.1969919422475555,-0.1982154348624623,0.0009424244968294794,32
17.971646626790363,0.3461895675953352,0.20368830362955728,0.038525745483812136,32,0.01,0.01,0.001,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.01, 'learning_rate': 0.001}",-0.20232420570801146,-0.20890204345212318,-0.20800418390479422,-0.2064101443549763,0.0029123540205765975,74
18.15475670496623,0.06831377067669593,0.1942291259765625,0.037130103354069105,32,0.01,0.01,0.0001,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.01, 'learning_rate': 0.0001}",-0.49357534284609267,-0.5420604054800787,-0.5952538188437244,-0.5436298557232986,0.0415248961535904,94
18.999016841252644,1.1992079213822646,0.15622464815775552,0.011164109883235422,32,0.01,0.001,0.1,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.001, 'learning_rate': 0.1}",-0.20682480680223508,-0.2168190909983244,-0.1973039232448176,-0.2069826070151257,0.007967815208377136,75
17.251293579737347,0.14032786428245186,0.1582043170928955,0.0069901537736539255,32,0.01,0.001,0.01,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.001, 'learning_rate': 0.01}",-0.19855964131016424,-0.19857808556893006,-0.19827032811315667,-0.19846935166408367,0.00014093220128379424,34
18.40806778271993,0.812531874230811,0.17832501729329428,0.010377017490311622,32,0.01,0.001,0.001,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.001, 'learning_rate': 0.001}",-0.20169596629991993,-0.2056947342748639,-0.20196800258567316,-0.20311956772015236,0.0018243013317560605,62
17.95386242866516,0.33332341997046144,0.1851651668548584,0.016710283985712126,32,0.01,0.001,0.0001,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.001, 'learning_rate': 0.0001}",-0.35067907178245505,-0.3382081978542523,-0.3456130315313905,-0.3448334337226993,0.005120970200445012,89
17.73440933227539,0.5478942632505364,0.17064523696899414,0.01165354219282065,32,0.01,0.0001,0.1,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.0001, 'learning_rate': 0.1}",-0.2034142675950555,-0.2097745856324732,-0.197969784642775,-0.2037195459567679,0.0048241218724373175,66
18.23277672131856,0.6190596189783935,0.16679700215657553,0.006660101934337385,32,0.01,0.0001,0.01,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.0001, 'learning_rate': 0.01}",-0.1982080106012864,-0.19986895347240352,-0.195470626047553,-0.19784919670708098,0.0018134463675653983,26
18.436879714330036,0.6498635746336182,0.17031455039978027,0.012171310828867181,32,0.01,0.0001,0.001,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.0001, 'learning_rate': 0.001}",-0.1972346851918329,-0.1977724040704164,-0.19350033523208,-0.1961691414981098,0.0018998562335601655,21
17.091018279393513,0.05240338154433658,0.16447885831197104,0.009596996408530192,32,0.01,0.0001,0.0001,"{'batch_size': 32, 'l1_reg': 0.01, 'l2_reg': 0.0001, 'learning_rate': 0.0001}",-0.3159485523703601,-0.32719116762571526,-0.3094947679202666,-0.3175448293054473,0.007312168655689387,87
18.211866935094196,0.745481002524366,0.1598665714263916,0.006308186361795849,32,0.001,0.01,0.1,"{'batch_size': 32, 'l1_reg': 0.001, 'l2_reg': 0.01, 'learning_rate': 0.1}",-0.20136395153401626,-0.1972160671243668,-0.19578291314268004,-0.19812097726702102,0.002366593072485015,30
19.240418354670208,0.6539971011136495,0.16645598411560059,0.01239421349909328,32,0.001,0.01,0.01,"{'batch_size': 32, 'l1_reg': 0.001, 'l2_reg': 0.01, 'learning_rate': 0.01}",-0.19919897548432847,-0.20289677649233548,-0.19618670316584802,-0.19942748504750396,0.002744137202237602,45
18.08527636528015,0.6775175880289108,0.17663002014160156,0.018069593773759354,32,0.001,0.01,0.001,"{'batch_size': 32, 'l1_reg': 0.001, 'l2_reg': 0.01, 'learning_rate': 0.001}",-0.2017476965231833,-0.201975881898744,-0.1988131286335503,-0.20084556901849251,0.0014401684114859713,54
18.92908851305644,0.25857890321399984,0.17811314264933267,0.010791978074063615,32,0.001,0.01,0.0001,"{'batch_size': 32, 'l1_reg': 0.001, 'l2_reg': 0.01, 'learning_rate': 0.0001}",-0.31027007742837975,-0.3148399771774455,-0.24598238668723582,-0.29036414709768704,0.03143805007499827,85
18.744466145833332,0.3239929243986712,0.1628383000691732,0.008002271038986455,32,0.001,0.001,0.1,"{'batch_size': 32, 'l1_reg': 0.001, 'l2_reg': 0.001, 'learning_rate': 0.1}",-0.20108149486804772,-0.20206903451855987,-0.21481976627600485,-0.20599009855420414,0.006256521008696466,70
